Time elapsed, Glow State, Visible Light, Right Sleeve State, Right X Acc, Right Y Acc, Right Z Acc, Left Sleeve State, Left X Acc, Left Y Acc, Left Z Acc
1207.00,0,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00
1707.00,0,0,0,7.28,-1.82,-6.90,0,-7.74,-2.76,5.45
2370.00,1,105,0,7.01,-0.22,-7.45,0,-6.09,-4.15,6.32
2870.00,1,105,0,7.01,-0.22,-7.45,0,-6.09,-4.15,6.32
3370.00,1,105,0,6.68,-0.21,-7.36,0,-6.38,-3.68,6.79
3870.00,1,105,0,6.59,-0.19,-7.47,0,-6.44,-3.38,6.83
4734.00,0,1558,0,6.45,-0.27,-7.43,0,-5.56,7.92,-2.31
5238.00,0,1558,0,7.02,-0.87,-7.02,0,-5.64,6.80,-2.65
5738.00,0,1558,0,7.02,-0.87,-7.02,0,-5.64,6.80,-2.65
6238.00,0,1558,0,6.82,-0.09,-7.36,0,-7.13,4.64,-3.56
7097.00,0,1527,0,9.37,-1.10,-6.80,0,-8.26,6.04,-1.44
7597.00,0,1527,0,9.37,-1.10,-6.80,0,-8.26,6.04,-1.44
8097.00,0,1527,0,8.14,-1.28,-5.84,0,-9.64,3.60,-2.36
8597.00,0,1527,0,7.64,-1.11,-6.64,0,-8.49,2.07,0.39
9462.00,0,1439,0,7.01,-0.06,-6.55,0,-11.22,1.99,-1.50
9966.00,0,1439,0,6.96,0.25,-7.84,0,-8.41,2.12,0.98
10466.00,0,1439,0,6.96,0.25,-7.84,0,-8.41,2.12,0.98
10966.00,0,1439,0,5.85,0.59,-8.45,0,-7.33,1.70,-0.08
11826.00,0,1532,0,4.92,-0.18,-8.57,0,-9.63,0.35,1.56
12330.00,0,1532,0,5.14,0.45,-8.72,0,-10.39,1.19,1.24
12830.00,0,1532,0,5.14,0.45,-8.72,0,-10.39,1.19,1.24
13330.00,0,1532,0,5.02,0.64,-8.49,0,-8.98,-0.24,1.67
14189.00,0,1515,0,5.38,0.12,-8.09,0,-8.55,-0.06,1.06
14689.00,0,1515,0,5.38,0.12,-8.09,0,-8.55,-0.06,1.06
15189.00,0,1515,0,6.68,-0.90,-7.39,0,-8.17,1.67,0.84
15689.00,0,1515,0,7.21,-1.44,-7.47,0,-10.47,0.36,0.71
16554.00,0,1542,0,6.93,-0.39,-6.79,0,-11.65,1.22,-2.50
17058.00,0,1542,0,6.81,0.26,-7.56,0,-10.25,0.57,-1.25
17558.00,0,1542,0,6.81,0.26,-7.56,0,-10.25,0.57,-1.25
18058.00,0,1542,0,6.41,0.90,-6.84,0,-8.06,-0.96,-3.37
18917.00,0,1503,0,6.07,0.85,-7.70,0,-10.36,1.07,0.57
19417.00,0,1503,0,6.07,0.85,-7.70,0,-10.36,1.07,0.57
19917.00,0,1503,0,6.86,0.55,-7.58,0,-8.93,3.14,-1.88
20417.00,0,1503,0,7.56,0.48,-6.70,0,-9.39,2.12,-3.44
21282.00,0,1485,0,6.20,-0.34,-7.46,0,-9.42,1.52,0.36
21786.00,0,1485,0,8.21,0.34,-7.22,0,-9.67,-0.87,0.50
22286.00,0,1485,0,8.21,0.34,-7.22,0,-9.67,-0.87,0.50
22786.00,0,1485,0,8.94,-0.15,-7.38,0,-9.67,0.29,0.06
23645.00,0,1826,0,4.45,3.36,-7.62,0,-8.09,1.74,1.12
24145.00,0,1826,0,4.45,3.36,-7.62,0,-8.09,1.74,1.12
24645.00,0,1826,0,4.30,3.82,-6.91,0,-5.56,4.21,-1.37
25145.00,0,1826,0,4.69,2.33,-8.81,0,-5.36,8.53,-4.87
26010.00,0,2054,0,5.95,1.79,-7.86,0,-4.07,7.00,-4.99
26514.00,0,2054,0,6.02,2.17,-7.20,0,-4.38,7.07,-4.90
27014.00,0,2054,0,6.02,2.17,-7.20,0,-4.38,7.07,-4.90
27514.00,0,2054,0,6.09,0.86,-8.41,0,-3.91,5.91,-6.64
28374.00,0,2018,0,4.96,2.23,-7.92,0,-3.80,6.37,-5.50
28878.00,0,2018,0,6.73,2.38,-7.25,0,-2.80,7.11,-6.13
29378.00,0,2018,0,6.73,2.38,-7.25,0,-2.80,7.11,-6.13
29878.00,0,2018,0,8.04,1.94,-6.43,0,-2.93,6.61,-6.13
30738.00,0,1181,0,9.96,-0.26,-2.96,0,-2.63,7.64,-5.06
31242.00,0,1181,0,10.36,-1.99,-1.64,0,-3.34,7.33,-4.84
31742.00,0,1181,0,10.36,-1.99,-1.64,0,-3.34,7.33,-4.84
32242.00,0,1181,0,9.85,-2.88,-0.76,0,-2.85,7.51,-4.90
33101.00,0,1327,0,4.56,5.81,-4.53,0,-8.62,5.28,-3.25
33601.00,0,1327,0,4.56,5.81,-4.53,0,-8.62,5.28,-3.25
34101.00,0,1327,0,3.11,8.60,-0.65,0,-6.46,5.90,-3.29
34601.00,0,1327,0,1.70,8.74,-2.69,0,-7.88,4.47,-3.18
35466.00,0,1902,0,5.54,7.89,-1.15,0,-3.24,8.07,-1.32
35970.00,0,1902,0,8.71,5.34,-0.88,0,-2.69,7.85,-3.35
36470.00,0,1902,0,8.71,5.34,-0.88,0,-2.69,7.85,-3.35
36970.00,0,1902,0,8.18,5.55,-1.65,0,-3.35,8.18,-1.16
37830.00,0,2248,0,9.45,5.99,0.25,0,-3.78,8.10,0.05
38334.00,0,2248,0,9.76,3.16,2.50,0,-3.34,9.54,0.82
38834.00,0,2248,0,9.76,3.16,2.50,0,-3.34,9.54,0.82
