Time elapsed, Glow State, Visible Light, Right Sleeve State, Right X Acc, Right Y Acc, Right Z Acc, Left Sleeve State, Left X Acc, Left Y Acc, Left Z Acc
2729.00,0,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00
3229.00,0,1491,0,8.70,-0.21,-4.67,0,-7.94,3.53,-3.24
3729.00,0,1491,0,8.37,-0.02,-4.89,0,-10.34,2.80,-1.58
4229.00,0,1491,0,8.23,0.28,-5.10,0,-10.74,0.52,0.02
4729.00,0,1491,0,8.13,-0.17,-5.36,0,-8.92,1.17,-0.89
5498.00,0,1405,0,8.57,0.22,-5.18,0,-9.73,0.62,-0.04
6003.00,0,1405,0,9.31,-0.44,-5.42,0,-10.51,0.27,-0.36
6508.00,0,1405,0,10.04,-0.42,-0.29,0,-9.54,1.33,-0.52
7013.00,0,1405,0,10.85,-1.07,0.70,0,-3.85,1.86,-3.66
7863.00,0,1101,0,9.64,0.34,-0.71,0,-8.48,1.79,-3.89
8367.00,0,1101,0,9.82,-0.61,-0.90,0,-8.24,0.45,-3.62
8872.00,0,1101,0,10.44,-0.40,-1.28,0,-8.25,0.38,-2.82
9377.00,0,1101,0,10.22,-0.70,-1.12,0,-9.03,2.84,-3.93
10227.00,0,1025,0,10.22,-1.19,-2.15,0,-9.09,1.15,-2.93
10731.00,0,1025,0,8.81,-0.35,-3.43,0,-7.30,2.73,-2.80
11236.00,0,1025,0,8.70,0.68,-4.19,0,-9.21,1.81,-3.01
11741.00,0,1025,0,6.56,1.01,-7.53,0,-8.08,3.26,-3.59
12590.00,0,1739,0,7.02,0.02,-7.14,0,-11.23,2.09,-5.67
13090.00,0,1739,0,7.02,0.02,-7.14,0,-11.23,2.09,-5.67
13590.00,0,1739,0,7.64,-1.24,-6.95,0,-3.23,5.81,-7.63
14090.00,0,1739,0,5.86,-0.34,-6.05,0,-6.24,7.10,-5.72
14954.00,0,1520,0,7.20,-0.84,-6.68,0,-4.13,6.95,-5.86
15459.00,0,1520,0,6.49,-1.85,-7.08,0,-3.64,6.99,-5.70
15964.00,0,1520,0,7.19,-2.44,-7.29,0,-3.57,7.30,-5.58
